3,24,44,34,37,37,37,37,37,37,37,37,36,36,36,36,36,34,36,36
3,20,12,14,14,18,46,52,58,62,68,76,82,78,72,66,66,64,56,54
64,60,68,74,76,82,88,84,92,86,86,80,78,74,72,64,72,78,92,92
84,88,76,86,90,92,82,92,88,84,78,74,68,64,60,52,26,16,8,4
24,30,37,34,36,39,36,36,36,34,34,36,22,12,3,42,46,56,52,54
58,64,68,70,74,74,78,80,82,90,92,92,84,76,68,60,54,46,26,10
42,16,20,14,14,22,36,37,32,30,3,1,18,12,10,10,10,10,10,20
26,46,34,39,37,36,30,24,16,20,46,50,60,58,54,60,60,70,74,80
68,58,62,58,50,46,3,10,16,26,28,37,36,36,32,20,30,20,18,20
44,28,22,36,34,30,22,16,14,12,8,4,3,42,46,52,60,60,54,54
